"There are no videos availble into the gallery at the moment.","There are no videos availble into the gallery at the moment."
"This extension is Currently disabled so it will be redirected to our homepage in 5 seconds.","This extension is Currently disabled so it will be redirected to our homepage in 5 seconds."
"Video Gallery","Video Gallery"
"Video Gallery Information","Video Gallery Information"
"Video Gallery  Manager","Video Gallery  Manager"
"Video Gallery Section","Video Gallery Section"
"Video Gallery Description","Video Gallery Description"
"Manage Youtube Videos","Manage Youtube Videos"
"Video item successfully created","Video item successfully created"
"Video item successfully deleted","Video item successfully deleted"
"Selected video item(s) successfully removed","Selected video item(s) successfully removed"
"Are you sure?","Are you sure?"
"Remove From Video Gallery","Remove From Video Gallery"
